ticker,name,description,sector,industry,revenue_base,revenue_growth,ebitda_margin,ev_ebitda,pe_ratio
AAPL,Apple Inc.,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",Technology,Consumer Electronics,408624988160,3.7638061485013465,0.34675997,21.523,30.663637
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc. develops, markets, installs, and supports software products and services for facilitating electronic payments in the United States and internationally. It operates through Banks, Merchants, and Billers segments. The company offers ACI Acquiring, a solution to process credit, debit, and prepaid card transactions, deliver digital innovation, enhance fraud prevention, and reduce interchange fees; ACI Issuing, a digital payment issuing solution; and ACI Enterprise Payments Platform to provide payment players payment processing and orchestration for digital payments. It also provides account-to-account payments to support processing for banks and intermediaries, as well as regulatory compliance. In addition, the company offers ACI Payments Orchestration Platform, an omnichannel payments platform that orchestrates and optimizes payments; ACI Fraud Management for merchants, billers, and financial institutions, as well as ACI Fraud Scoring Services with artificial and human insights with data intelligence; and ACI Speedpay, an integrated suite of digital billing, payment, disbursement, and communication services. It offers electronic bill presentment and payment services to consumer finance, insurance, healthcare, higher education, utility, government, subscription provider, telecommunications, and mortgage sectors; product installations and configurations, and custom software modifications; and business and technical consultancy, on-site support, product education, and testing services, as well as distributes or acts as a sales agent for software developed by third parties. The company markets its products and services under the ACI Worldwide brand. The company was formerly known as Transaction Systems Architects, Inc. and changed its name to ACI Worldwide, Inc. in July 2007. The company was founded in 1975 and is headquartered in Elkhorn, Nebraska.",Technology,Software - Infrastructure,1672834048,4.293460203342204,0.24134001,12.215,16.102768
ACLS,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. designs, manufactures, and services ion implantation and other processing equipment used in the fabrication of semiconductor chips in the United States, Europe, and the Asia Pacific. The company offers high energy, high current, and medium current implanters for various application requirements. It also provides aftermarket lifecycle products and services, including used tools, spare parts, equipment upgrades, maintenance services, and customer training. The company sells its equipment and services to semiconductor chip manufacturers through its direct sales force. Axcelis Technologies, Inc. was founded in 1978 and is headquartered in Beverly, Massachusetts.",Technology,Semiconductor Equipment & Materials,958056000,2.7962056012552896,0.2014,8.78,12.591575
ACMR,"ACM Research, Inc.","ACM Research, Inc., together with its subsidiaries, develops, manufactures, and sells capital equipment worldwide. It also develops, manufactures, and sells a range of packaging tools to wafer assembly and packaging customers. The company provides Wet Cleaning Equipment for Front End Production Processes; Ultra C SAPS II and Ultra C SAPS V which are a single-wafer, serial-processing tool used to remove random defects from wafer surfaces or interconnects and barrier metals as part of the chip front-end fabrication process or for recycling test wafers; and Ultra C TEBO II and Ultra C TEBO V, a single-wafer, serial-processing tool used at numerous manufacturing processing steps for cleaning of chips at process nodes of 28nm or less. In addition, it offers Ultra-C Tahoe wafer cleaning tool that delivers high cleaning performance using significantly less sulfuric acid and hydrogen peroxide than is typically consumed by conventional high-temperature single-wafer cleaning tools; and advanced packaging tools, such as coaters, developers, photoresist strippers, scrubbers, wet etchers, and copper-plating tools. Further, the company provides e Ultra fn Furnace, a dry processing tool; Ultra Pmax PECVD tool, for film uniformity; Ultra Track tool, a 300mm process tool that delivers air downflow, robot handling, and customizable software to address specific customer requirements; and a suite of semi-critical cleaning systems which include single wafer back side cleaning, scrubber, and auto bench cleaning tools. It markets and sells its products under the SAPS, TEBO, ULTRA C, ULTRA Fn, Ultra ECP, Ultra ECP map, and Ultra ECP ap trademarks through direct sales force and third-party representatives. ACM Research, Inc. was incorporated in 1998 and is headquartered in Fremont, California.",Technology,Semiconductor Equipment & Materials,802273984,4.27149437220335,0.20194,11.316,18.77707
ADBE,Adobe Inc.,"Adobe Inc., together with its subsidiaries, operates as a technology company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products and services that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows subscribers to use its creative products and applications (apps) integrated with cloud-delivered services across various surfaces and platforms. This segment serves photographers, video editors, graphic and experience designers, and game developers; content creators, students, marketers, and knowledge workers; and consumers. The Digital Experience segment provides an integrated platform and set of products, services, and solutions that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Adobe Advertising offerings. It provides consulting, training, customer management, technical support, and learning services. The company offers its solutions directly to enterprise customers through its sales force and local field offices, and directly to businesses and consumers, as well as licenses its products to end-user customers through app stores and website at adobe.com. It markets and distributes its products through sales channels, including distributors, retailers, software developers, mobile app stores, systems integrators, independent software vendors, value-added resellers, and original equipment and hardware manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",Technology,Software - Application,22601000960,3.2571105669617633,0.39308,16.705,22.266325
ADEA,Adeia Inc.,"Adeia Inc., together with its subsidiaries, operates as a media and semiconductor intellectual property licensing company in the United States, Asia, Canada, Europe, the Middle East, and internationally. The company licenses its patent portfolios across various markets, including multichannel video programming distributors comprising cable, satellite, and telecommunications television providers that aggregate and distribute linear content over networks, as well as television providers that aggregate and stream linear content over broadband networks; over-the-top video service providers, such as subscription video-on-demand and free advertising-supported streaming service providers, as well as content providers, networks, and media companies. It also licenses consumer electronics manufacturers, which includes producers of smart televisions, streaming media devices, video game consoles, mobile devices, content storage devices, and other connected media devices; semiconductors, including providers of memory, logic, sensors, and radio frequency devices; and social media companies that allow users to stream and upload user-generated content. The company licenses its intellectual properties under the Adeia brand. Adeia Inc. was incorporated in 2019 and is headquartered in San Jose, California.",Technology,Software - Application,380288992,3.5595467897608057,0.55839,7.964,18.69697
ADI,"Analog Devices, Inc.","Analog Devices, Inc. engages in the design, manufacture, testing, and marketing of integrated circuits (ICs), software, and subsystems products in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and consumer markets; and power ICs that include performance, integration, and software design simulation tools for accurate power supply designs. It also offers amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and micro-electro-mechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company provides digital signal processing and system products for numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, defense and healthcare, and communications markets through a direct sales force, third-party distributors, and independent sales representatives, as well as online. The company was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",Technology,Semiconductors,9818655744,3.547697378324338,0.44518003,26.279,60.247284
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. engages in the provision of cloud-based human capital management (HCM) solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. This segment's offerings include RUN Powered by ADP, a software platform for small business payroll, HR management, and tax compliance administration; ADP Workforce Now, a HCM solution used across mid-sized and large businesses to manage employees; and ADP Vantage HCM, a solution for HR management, benefits administration, payroll services, time and attendance management, and talent management. The PEO Services segment provides HR and employment administration outsourcing solutions under ADP TotalSource name to businesses through a co-employment model. The segment also provides employee benefits, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Technology,Software - Application,20560900096,2.860632475167241,0.29306,20.424,30.134403
AIOT,"PowerFleet, Inc.","PowerFleet, Inc. provides artificial intelligence-of-things (AIoT) solutions in North America, Israel, Africa, Europe, the Middle East, Australia, and internationally. Its unity solution portfolio includes unity platform that enables integration with AIoT devices and third-party business systems to a data highway that powers artificial intelligence-driven insights to help customers save lives, time, and money; software as a service based unity modules, which comprises vehicle, video, and in-warehouse IoT for customers to gain visibility and AI-powered insights into their people, assets, and business processes to manage utilization and maintenance, safety, fuel and energy management, and compliance and high-risk incidents; and open application programming interfaces for additional integrations and development to enhance other enterprise management systems and third-party applications. The company also provides hosting, maintenance, and customer support and consulting services; and software as a service, such as system monitoring, help desk technical support, escalation procedure development, routine diagnostic data analysis, and software update services. The company offers its products under the Powerfleet, Pointer, Cellocator, MiX by Powerfleet, and Fleet Complete brands. It markets and sells its wireless solutions to a range of customers in the commercial and government sectors, including construction and heavy equipment, distribution, field services, leasing and car rental, government and public safety, manufacturing and automotive, oil and gas, chemical, transportation and logistics, utilities and telecommunications, and cold chain logistics. The company was formerly known as I.D. Systems, Inc. and changed its name to PowerFleet, Inc. in October 2019. PowerFleet, Inc. was incorporated in 1993 and is headquartered in Woodcliff Lake, New Jersey.",Technology,Software - Infrastructure,362515008,9.744368701837582,0.15669,13.193,
AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc. engages in the provision of security, delivery, and cloud computing solutions in the United States and internationally. The company offers security solutions that include web application and application programming interfaces (API) protection solutions, which protect web, API, and mobile app traffic from attacks; Bot & Abuse portfolio, which provides solutions to help customers protect against threats; Akamai Account Protector, which offers full account lifecycle protections including the ability to defend against account takeover and opening abuse, adversarial bot protection, protection against credential stuffing, inventory scalping, and hoarding; Akamai Content Protector, which provides solutions designed to stop persistent scrapers from stealing content; API security, which discovers, audits, and monitors API; and microservice and application component protection that analyzes and protects application traffic that moves between application components. It also offers cloud computing services, which include compute, storage, networking, database, and container management services; and Akamai App Platform, provides ready-to-run templates that address challenges in deploying, managing and scaling Kubernetes clusters at scale. In addition, the company offers delivery solutions that include web and mobile performance solutions, which enables dynamic websites and applications, as well as global traffic management, site acceleration, application load balancing, large-scale load testing, and real-user monitoring; and media delivery solutions, including video streaming and video player services, game and software delivery, broadcast operations, authoritative domain name system, resolution, and data and analytics. Akamai Technologies, Inc. was incorporated in 1998 and is headquartered in Cambridge, Massachusetts.",Technology,Software - Infrastructure,4019336960,3.0724003769111525,0.27989,12.598,24.95973
