ticker,name,description,sector,industry,revenue_base,revenue_growth,ebitda_margin,ev_ebitda,pe_ratio
ACB,Aurora Cannabis Inc.,"Aurora Cannabis Inc., together with its subsidiaries, engages in the production, distribution, and sale of cannabis and cannabis-derivative products in Canada and internationally. It operates through two segments, Canadian Cannabis and Plant Propagation. The company offers pharmaceutical-grade cannabis products; medical and consumer cannabis products; and engages in the propagation of vegetables and floral plants. It also provides dried and fresh cannabis, cannabis oils, trims, concentrates, ingestibles, capsules, vaporizers, edible cannabis, cannabis extracts, and cannabis topicals; and patient counseling and outreach services. Its brand portfolio includes San Rafael '71, Greybeard, Drift, Daily Special, Being, CanniMed, MedReleaf, Aurora, and WMMC, as well as international brands include Pedanios, Bidiol, IndiMed, and CraftPlant. The company was founded in 2013 and is headquartered in Edmonton, Canada.",Healthcare,Drug Manufacturers - Specialty & Generic,343292992,4.092536826333981,0.08931,8.463,20.363636
ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. The company develops and operates acute inpatient psychiatric facilities; specialty treatment facilities comprising residential recovery facilities and eating disorder facilities; comprehensive treatment centers; and residential treatment centers, as well as facilities providing outpatient behavioral healthcare services for the behavioral healthcare and recovery needs of communities. Acadia Healthcare Company, Inc. was founded in 2005 and is headquartered in Franklin, Tennessee.",Healthcare,Medical Care Facilities,3156417024,3.1096450626325596,0.20027,6.858,10.338236
ADMA,ADMA Biologics Inc,"ADMA Biologics, Inc., a biopharmaceutical company, develops, manufactures, and markets specialty plasma-derived biologics for the treatment of immune deficiencies and infectious diseases in the United States and internationally. The company offers BIVIGAM, an intravenous immune globulin (IVIG) product indicated for the treatment of primary humoral immunodeficiency (PI); ASCENIV, an IVIG product for the treatment of PI; and Nabi-HB, a human polyclonal antibody product for the treatment of acute exposure to blood containing Hepatitis B surface antigen and other listed exposures to Hepatitis B. It also develops a pipeline of plasma-derived therapeutics comprising products related to the methods of treatment and prevention of S. pneumonia infection for an immunoglobulin. In addition, the company operates source plasma collection facilities. The company sells its products through independent distributors, drug wholesalers, specialty pharmacies, and other alternate site providers. ADMA Biologics, Inc. was incorporated in 2004 and is headquartered in Ramsey, New Jersey.",Healthcare,Biotechnology,459380992,4.610760305343511,0.34817,28.917,23.011906
ADUS,Addus HomeCare Corporation,"Addus HomeCare Corporation, together with its subsidiaries, provides personal care services to elderly, chronically ill, disabled persons, and individuals who are at risk of hospitalization or institutionalization in the United States. It operates through three segments: Personal Care, Hospice, and Home Health. The Personal Care segment provides non-medical assistance with activities of daily living. This segment offers services that include assistance with bathing, grooming, oral care, feeding and dressing, medication reminders, meal planning and preparation, housekeeping, and transportation services. The Hospice segment provides palliative nursing care, social work, spiritual counseling, homemaker, and bereavement counseling services for people who are terminally ill, as well as related services for their families. The Home Health segment offers skilled nursing and physical, occupational, and speech therapy for the individuals who requires assistance during an illness or after hospitalization. The company serves federal, state, and local governmental agencies; managed care organizations; commercial insurers; and private individuals. Addus HomeCare Corporation was founded in 1979 and is headquartered in Frisco, Texas.",Healthcare,Medical Care Facilities,1211560960,3.3155058308934056,0.115830004,14.675,23.746605
AHCO,AdaptHealth Corp.,"AdaptHealth Corp., together with its subsidiaries, distributes home medical equipment (HME), medical supplies, and home and related services in the United States. The company offers sleep therapy equipment, supplies, and related services, such as CPAP and bi-PAP services to individuals suffering from obstructive sleep apnea; medical devices and supplies, including continuous glucose monitors and insulin pumps for the treatment of diabetes; HME to patients discharged from acute care and other facilities; oxygen and related chronic therapy services in the home; and other HME devices and supplies on behalf of chronically ill patients with wound care, urological, incontinence, ostomy, and nutritional supply needs. It also provides wheelchairs, hospital beds, oxygen concentrators, insulin pumps, CPAP masks and related supplies, diabetes management and wound care supplies, wheelchair cushion accessories, orthopedic bracing, breast pumps and supplies, walkers, commodes and canes, and nutritional and incontinence supplies. The company services beneficiaries of Medicare, Medicaid, and commercial insurance payors. AdaptHealth Corp. was founded in 2012 and is headquartered in Plymouth Meeting, Pennsylvania.",Healthcare,Medical Devices,3246360064,4.46600314089066,0.19721001,5.012,15.086207
ALGN,"Align Technology, Inc.","Align Technology, Inc. designs, manufactures, and markets Invisalign clear aligners, Vivera retainers, and iTero intraoral scanners and services in the United States, Switzerland, and internationally. The Clear Aligner segment offers comprehensive products, including Invisalign comprehensive package to treat adults and teens from mild to severe malocclusion and features, and orthodontic needs of teenage or younger patients; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of six and ten years with a mixture of primary/baby and permanent teeth. This segment also provides Invisalign express, Invisalign lite, and Invisalign moderate; as well as Invisalign Go, Invisalign Go express, and Invisalign Go Plus; retention products, Invisalign training, adjusting tools used by dental professionals during treatment, ancillary Invisalign accessory products, and other oral health products; Invisalign Professional Whitening system; Invisalign Palatal Expander, a 3D printed orthodontic device; and 3D printing solutions. The Imaging Systems and CAD/CAM Services segment offers iTero intraoral scanning system, a single hardware platform for restorative or orthodontic procedures; exocad, a computer-aided design and computer-aided manufacturing (CAD/CAM) software; orthodontist software for digital records storage, orthodontic diagnosis, and fabrication of printed models and retainers; and restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons. This segment also provides Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; Align Oral Health Suite, a digital interface for dental consultations; iTero TimeLapse technology for doctors or practitioners to compare a patient's historic 3D scans to the present-day scan; and subscription software, disposables, rents scanners, and pay per scan services. The company was incorporated in 1997 and is headquartered in Tempe, Arizona.",Healthcare,Medical Instruments & Supplies,3964802048,2.9910961259475592,0.20128,11.398,23.060812
ALKS,Alkermes plc,"Alkermes plc, a biopharmaceutical company, researches, develops, and commercializes pharmaceutical products to address unmet medical needs of patients in therapeutic areas in the United States, Ireland, and internationally. It has a portfolio of proprietary commercial products for the treatment of alcohol dependence, opioid dependence, schizophrenia and bipolar I disorder and a pipeline of clinical and preclinical product candidates in development for neurological disorders. Its marketed products include ARISTADA, an intramuscular injectable suspension for the treatment of schizophrenia; ARISTADA INITIO for the treatment of schizophrenia in adults; VIVITROL for the treatment of alcohol and prevention of opioid dependence; and LYBALVI, an oral atypical antipsychotic drug candidate for the treatment of adults with schizophrenia and bipolar I disorder. The company also offers proprietary technology platforms to third parties to enable them to develop, commercialize, and manufacture products. It has collaboration agreements primarily with Janssen Pharmaceutica N.V., Janssen Pharmaceutica Inc, and Janssen Pharmaceutica International. Alkermes plc was founded in 1987 and is headquartered in Dublin, Ireland.",Healthcare,Drug Manufacturers - Specialty & Generic,1505296000,2.771433439146546,0.26790002,8.53,12.826087
ALVO,Alvotech,"Alvotech, through its subsidiaries, develops and manufactures biosimilar medicines for patients worldwide. It offers biosimilar products in the therapeutic areas of autoimmune, eye, and bone disorders, as well as cancer. The company's lead program is AVT02, a high concentration formulation biosimilar to Humira to treat various inflammatory conditions, including rheumatoid arthritis, psoriatic arthritis, Crohn's disease, ulcerative colitis, plaque psoriasis, and other indications; AVT04, a biosimilar to Stelara to treat various inflammatory conditions comprising psoriatic arthritis, Crohn's disease, ulcerative colitis, plaque psoriasis, and other indications; AVT06, a biosimilar to Eylea to treat various conditions, such as age-related macular degeneration, macular edema, and diabetic retinopathy; and AVT03, a biosimilar to Xgeva and Prolia to treat prevent bone fracture, spinal cord compression, and the need for radiation or bone surgery in patients with certain types of cancer, as well as prevent bone loss and increase bone mass. In addition, it offers AVT05, a biosimilar to Simponi and Simponi Aria to treat various inflammatory conditions, including rheumatoid arthritis, psoriatic arthritis, ulcerative colitis, and other indications; AVT16, a biosimilar to an Entyvio product for the treatment of adult patients with moderate to severe ulcerative colitis and moderate to severely active Crohn's disease; AVT23, a biosimilar to Xolair to treat allergic asthma, chronic spontaneous urticaria (CSU), and nasal polyp; and AVT33, a biosimilar to Keytruda product which is in early phase development. Alvotech was founded in 2013 and is based in Luxembourg, Luxembourg.",Healthcare,Drug Manufacturers - Specialty & Generic,587889984,14.890453706718766,0.25115,24.792,23.756756
AMED,Amedisys Inc,"Amedisys, Inc., together with its subsidiaries, provides healthcare services in the United States. It operates through three segments: Home Health, Hospice, and High Acuity Care. The Home Health segment offers a range of services in the homes of individuals for the recovery of patients from surgery, chronic disability, or illness, as well as prevents avoidable hospital readmissions through its skilled nurses; nursing services, rehabilitation therapists specialized in physical, speech, and occupational therapy; and social workers and aides for assisting its patients. The Hospice segment offers services that is designed to provide comfort and support for those who are dealing with a terminal illness, including cancer, heart disease, pulmonary disease, or Alzheimer's. The High Acuity Care offers essential elements of inpatient hospital, skilled nursing facility care, and palliative care to patients in their homes. Amedisys, Inc. was incorporated in 1982 and is headquartered in Baton Rouge, Louisiana.",Healthcare,Medical Care Facilities,2402364928,3.0636296129651024,0.105340004,13.417,38.33074
AMGN,Amgen Inc.,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. The company's principal products include Enbrel for the treatment of rheumatoid arthritis, plaque psoriasis, and psoriatic arthritis; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with Behçet's disease; Prolia to treat postmenopausal women with osteoporosis; XGEVA for skeletal-related events prevention; Repatha, which reduces the risks of myocardial infarction, stroke, and coronary revascularization; Nplate for the treatment of patients with immune thrombocytopenia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; Aranesp to treat a lower-than-normal number of red blood cells and anemia; EVENITY for the treatment of osteoporosis in postmenopausal for men and women; Vectibix to treat patients with wild-type RAS metastatic colorectal cancer; BLINCYTO for the treatment of patients with acute lymphoblastic leukemia; TEPEZZA to treat thyroid eye disease; and KRYSTEXXA for the treatment of chronic refractory gout. It also markets other products, including Neulasta, MVASI, AMJEVITA/AMGEVITA, TEZSPIRE, Parsabiv, Aimovig, LUMAKRAS/LUMYKRAS, EPOGEN, KANJINTI, TAVNEOS, RAVICTI, UPLIZNA and PROCYSBI. The company serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. The company has collaboration agreements with AstraZeneca plc for the development and commercialization of TEZSPIRE; Novartis Pharma AG to develop and commercialize Aimovig; UCB for the development and commercialization of EVENITY; Kyowa Kirin Co., Ltd. for rocatinlimab development and commercialization; and BeiGene, Ltd. for oncology products expansion and development. Amgen Inc. was incorporated in 1980 and is headquartered in Thousand Oaks, California.",Healthcare,Drug Manufacturers - General,34126000128,3.5825164495770108,0.46082002,13.24,27.038254
