ticker,name,description,sector,industry,revenue_base,revenue_growth,ebitda_margin,ev_ebitda,pe_ratio
ABNB,"Airbnb, Inc.","Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. Its marketplace connects hosts and guests online or through mobile devices to book spaces and experiences. It also offers gift cards. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",Consumer Cyclical,Travel Services,11232000000,4.243697478991597,0.22543,27.569,32.492386
AMWD,American Woodmark Corporation,"American Woodmark Corporation manufactures and distributes kitchen, bath, and home organization products for the remodeling and new home construction markets in the United States. The company offers kitchen cabinetry, bath cabinetry, office cabinetry, home organization, and hardware products. It also provides turnkey installation services to its direct builder customers through a network of service centers. The company sells its products under the American Woodmark, Timberlake, Shenandoah Cabinetry, waypoint Living Spaces, 1951 Cabinetry, Professional Cabinet Solutions, SageHouse, allen + roth, Hampton Bay, ESTATE, Glacier Bay, Home Decorators Collection, Project Source, Stor-It-All, and Style Selections brands to home centers, builders, and independent dealers and distributors. The company was founded in 1951 and is based in Winchester, Virginia.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",1709585024,2.7716037398682487,0.11609,6.159,8.067692
AMZN,"Amazon.com, Inc.","Amazon.com, Inc. engages in the retail sale of consumer products, advertising, and subscriptions service through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It also manufactures and sells electronic devices, including Kindle, fire tablets, fire TVs, echo, ring, blink, and eero; and develops and produces media content. In addition, the company offers programs that enable sellers to sell their products in its stores; and programs that allow authors, independent publishers, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, it provides compute, storage, database, analytics, machine learning, and other services, as well as advertising services through programs, such as sponsored ads, display, and video advertising. Additionally, the company offers Amazon Prime, a membership program. The company's products offered through its stores include merchandise and content purchased for resale and products offered by third-party sellers. It serves consumers, sellers, developers, enterprises, content creators, advertisers, and employees. Amazon.com, Inc. was incorporated in 1994 and is headquartered in Seattle, Washington.",Consumer Cyclical,Internet Retail,670038032384,3.5279874575102887,0.19974001,17.609,32.78626
AOUT,"American Outdoor Brands, Inc.","American Outdoor Brands, Inc. provides outdoor products and accessories for rugged outdoor enthusiasts in the United States and internationally. The company provides shooting sports accessories products, including rests, vaults, and other related accessories; outdoor lifestyle products, such as premium sportsman knives and tools for fishing and hunting; land management tools for hunting preparedness and for use in the backyard; outdoor cooking products; and camping, survival, and emergency preparedness products. It also offers electro-optical devices, including hunting optics, firearm aiming devices, flashlights, and laser grips; and reloading, gunsmithing, and firearm cleaning supplies. In addition, the company offers rugged outdoor cutlery and tools, hunting accessories, meat processing equipment, shooting range and marksman products, cleaning and maintenance products, security and storage solutions, flashlights, cleaning kits, shooting glasses and cases, hearing protection products, training systems, and aiming solutions. It sells its products through e-commerce and traditional distribution channels under the Adventurer, Harvester, Marksman, and Defender brand names, including Grilla, BUBBA, ust, Schrade, Imperial, Hooyman, Old Timer, BOG, Uncle Henry, MEAT! Your Maker, Caldwell, Tipton, Wheeler, Frankford Arsenal, Crimson Trace, LaserLyte, Lockdown, M&P, Smith & Wesson, and Performance Center by Smith & Wesson. American Outdoor Brands, Inc. was incorporated in 2020 and is headquartered in Columbia, Missouri.",Consumer Cyclical,Leisure,222322000,3.8019784871916715,0.059019998,9.629,
ARHS,"Arhaus, Inc.","Arhaus, Inc. operates as a lifestyle brand and premium retailer in the home furnishings market in the United States. It provides merchandise assortments across various categories, including furniture, outdoor, lighting, textiles and décor. The company's furniture products comprise bedroom, dining room, living room, and home office furnishings, which includes sofas, dining tables and chairs, accent chairs, console and coffee tables, beds, headboards, dressers, desks, bookcases, modular storage, and other items; and outdoor products, such as outdoor dining tables, chairs, chaises and other furniture, lighting, textiles, décor, umbrellas, and fire pits. It offers lighting products, including various distinct and artistic lighting fixtures comprising chandeliers, pendants, table and floor lamps, and sconces; textile products, such as handcrafted indoor and outdoor rugs, bed linens, and pillows and throws; and décor products, including various wall art to mirrors, vases to candles, and other decorative accessories. The company distributes its products through an omni-channel model comprising showrooms, e-commerce platform, print and digital media, and in-home designer services. Arhaus, Inc. was founded in 1986 and is headquartered in Boston Heights, Ohio.",Consumer Cyclical,Specialty Retail,1287316992,3.361391371518014,0.08919,13.359,21.170732
ARKO,ARKO Corp.,"Arko Corp., through its subsidiary, operates a chain of convenience stores in the United States. It operates through Retail, Wholesale, Fleet Fueling, and GPMP segments. The Retail segment engages in the operation of retail stores that sells fuel and merchandise, as well as cold and hot foodservice, beverages, cigarettes and other tobacco products, candy, salty snacks, grocery, beer and general merchandise to retail consumers. The Wholesale segment supplies fuel to dealers, sub-wholesalers, and bulk and spot purchasers. The Fleet Fueling segment operates proprietary and third-party cardlock, and sells fuel using proprietary fuel cards. The GPMP segment is involved in the wholesale distribution of fuel to the retail and wholesale segments. The company is based in Richmond, Virginia.",Consumer Cyclical,Specialty Retail,8488413184,3.095826976135538,0.02724,12.317,133.0
ARKR,Ark Restaurants Corp.,"Ark Restaurants Corp., through its subsidiaries, owns and operates restaurants and bars in the United States. It operates restaurants and bars in New York City; Washington, D.C.; Las Vegas, Nevada; Atlantic City, New Jersey; Florida; and Alabama, as well as fast food concepts and catering operations. The company was incorporated in 1983 and is based in New York, New York.",Consumer Cyclical,Restaurants,178516000,3.2245071822419953,0.03016,20.057,
ASO,"Academy Sports and Outdoors, In","Academy Sports and Outdoors, Inc., through its subsidiaries, operates as a sporting goods and outdoor recreational retailer in the United States. The company's outdoors division comprises camping products, such as coolers and drinkware, and camping accessories and equipment; fishing products, including marine equipment and fishing rods, reels, and baits and equipment; and hunting products, which includes firearms, ammunition, archery and archery equipment, camouflage apparel, waders, shooting accessories, gun safes, optics, airguns, and hunting equipment. Its sports and recreation division offers fitness equipment, fitness accessories, and nutrition supplies; team and specialty sports equipment, including baseball, football, basketball, soccer, golf, racket sports, volleyball, backpacks, and sports bags; recreation products, which includes patio furniture, outdoor cooking, trampolines, play sets, watersports, and pet equipment, as well as wheeled goods that include bicycles, skateboards, and other ride-on toys; and electronics, watches, and sunglasses, as well as front-end products, such as consumables, batteries, etc. The company's apparel division provides outdoor and seasonal apparel, denim, work apparel, graphic t-shirts, and accessories; boys and girls outdoor, and athletic apparel; sporting and fitness apparel; and professional and collegiate team licensed apparel and accessories. Its footwear division offers casual shoes, slippers, seasonal footwear, and socks; work and western boots, shoes, and hunting footwear; boys and girls footwear; athletic footwear, such as running shoes, athletic lifestyle, and training shoes; and team and specialty sports footwear, and slides. The company sells its products under the Academy Sports + Outdoors, Magellan Outdoors, BCG, O'rageous, Game Winner, Outdoor Gourmet, Freely, and R.O.W. brand names. Academy Sports and Outdoors, Inc. was founded in 1938 and is headquartered in Katy, Texas.",Consumer Cyclical,Specialty Retail,5920638976,3.3399444371142484,0.10434,7.808,9.124074
ATAT,Atour Lifestyle Holdings Limite,"Atour Lifestyle Holdings Limited, through its subsidiaries, develops lifestyle brands around hotel offerings in the People's Republic of China. The company provides hotel management services, including day-to-day management services for the hotels on behalf of franchisees, and sells hotel supplies and other products. It also offers retail management services, investment management services, financial information service management, property management services, and software and technology services, as well as operates a travel agency. Atour Lifestyle Holdings Limited was incorporated in 2012 and is headquartered in Shanghai, China.",Consumer Cyclical,Lodging,7685452800,4.234277490936755,0.22305,6.228,26.555555
EJH,E-Home Household Service Holdin,"E-Home Household Service Holdings Limited, together with its subsidiaries, engages in the operation of household services in the People's Republic of China. The company operates through four segments: Installation and Maintenance; Housekeeping Services; Senior Care Services; and Sales of Pharmaceutical Products and Educational Consulting Services. It offers technical home installation and repair, and maintenance and other after sale services; housecleaning, nanny service, maternity matron, and personnel staffing; and heart rate test, daily step count, location and track record, call for help by WeChat or phone, and other care services for senior customers. The company provides its services through an online platform, as well as offline channels. Its customers primarily include individuals and families. The company was founded in 2014 and is headquartered in Fuzhou, the People's Republic of China.",Consumer Cyclical,Personal Services,50110200,,-0.33220002,7.847,
